date,title,transcript_url
"February 10, 2014","Press Briefing by Press Secretary Jay Carney, 2/10/2014",/the-press-office/2014/02/10/press-briefing-press-secretary-jay-carney-2102014
date,title,transcript_url
"February 06, 2014","Press Briefing by Press Secretary Jay Carney, 2/6/2014",/the-press-office/2014/02/06/press-briefing-press-secretary-jay-carney-262014
"February 05, 2014","Press Briefing by Press Secretary Jay Carney and Secretary of Agriculture Tom Vilsack, 2/5/2014",/the-press-office/2014/02/05/press-briefing-press-secretary-jay-carney-and-secretary-agriculture-tom-
"February 04, 2014","Press Briefing by Press Secretary Jay Carney, 2/4/2014",/the-press-office/2014/02/04/press-briefing-press-secretary-jay-carney-242014
"February 03, 2014","Press Briefing by Press Secretary Jay Carney, 2/3/14",/the-press-office/2014/02/03/press-briefing-press-secretary-jay-carney-2314
"January 31, 2014","Press Briefing by Press Secretary Jay Carney, 1/31/14",/the-press-office/2014/01/31/press-briefing-press-secretary-jay-carney-13114
"January 27, 2014","Press Briefing by Press Secretary Jay Carney, 1/27/14",/the-press-office/2014/01/27/press-briefing-press-secretary-jay-carney-12714
"January 24, 2014","Press Briefing by Press Secretary Jay Carney, 1/24/14",/the-press-office/2014/01/24/press-briefing-press-secretary-jay-carney-12414
date,title,transcript_url
"January 23, 2014","Press Briefing by Press Secretary Jay Carney, 1/23/2014",/the-press-office/2014/01/23/press-briefing-press-secretary-jay-carney-1232014
"January 16, 2014","Press Briefing by Press Secretary Jay Carney, 1/16/2014",/the-press-office/2014/01/16/press-briefing-press-secretary-jay-carney-1162014
"January 10, 2014","Press Briefing by Press Secretary Jay Carney, 1/10/2014",/the-press-office/2014/01/10/press-briefing-press-secretary-jay-carney-1102014
"January 09, 2014","Press Briefing by Press Secretary Jay Carney, 1/9/2014",/the-press-office/2014/01/09/press-briefing-press-secretary-jay-carney-192014
"January 08, 2014","Press Briefing by Press Secretary Jay Carney, 1/8/2014",/the-press-office/2014/01/08/press-briefing-press-secretary-jay-carney-182014
